Time	Flow V	Flow L/S	Volume L	Box Press	Box V	Mouth Press	Mouth V	Corrected Volume	Volume AccelerationIter	VolumeAccelTime
13.18	-2.20002	-4.04998	-0.23087	168.83045	3.18848	-1.89096	-0.20508	0.65164		
13.19	-2.20979	-4.06796	-0.27155	171.16609	3.23242	-1.8559	-0.2002	0.61096	-0.01798	-1.798
13.2	-2.21956	-4.08593	-0.31241	172.9827	3.2666	-1.78579	-0.19043	0.5701	-0.01797	-1.797
13.21	-2.20491	-4.05897	-0.353	174.02076	3.28613	-1.75073	-0.18555	0.52951	0.02696	2.696
13.22	-2.17561	-4.00503	-0.39305	174.79931	3.30078	-1.64556	-0.1709	0.48946	0.05394	5.394
13.23	-2.16584	-3.98706	-0.43292	175.05882	3.30566	-1.57545	-0.16113	0.44959	0.01797	1.797
13.24	-2.11213	-3.88818	-0.4718	174.79931	3.30078	-1.50533	-0.15137	0.41071	0.09888	9.888
13.25	-2.0926	-3.85223	-0.51032	174.28028	3.29102	-1.43522	-0.1416	0.37219	0.03595	3.595
13.26	-2.03889	-3.75335	-0.54785	173.76125	3.28125	-1.33005	-0.12695	0.33466	0.09888	9.888
13.27	-1.99495	-3.67245	-0.58458	173.24221	3.27148	-1.25994	-0.11719	0.29793	0.0809	8.09
13.28	-1.94124	-3.57358	-0.62031	172.9827	3.2666	-1.15477	-0.10254	0.2622	0.09887	9.887
13.29	-1.88264	-3.46571	-0.65497	171.94464	3.24707	-1.01454	-0.08301	0.22754	0.10787	10.787
13.3	-1.81917	-3.34886	-0.68846	169.86851	3.20801	-0.90937	-0.06836	0.19405	0.11685	11.685
13.31	-1.75081	-3.22302	-0.72069	166.49481	3.14453	-0.69903	-0.03906	0.16182	0.12584	12.584
13.32	-1.65315	-3.04325	-0.75112	161.56401	3.05176	-0.52375	-0.01465	0.13139	0.17977	17.977
13.33	-1.61897	-2.98033	-0.78093	154.03806	2.91016	-0.24329	0.02441	0.10158	0.06292	6.292
13.34	-1.53596	-2.82752	-0.8092	144.95502	2.73926	0.07222	0.06836	0.07331	0.15281	15.281
13.35	-1.36995	-2.5219	-0.83442	133.79585	2.5293	0.35267	0.10742	0.04809	0.30562	30.562
13.36	-1.1551	-2.12583	-0.85568	121.07958	2.29004	0.63312	0.14648	0.02683	0.39607	39.607
13.37	-0.9012	-1.65489	-0.87223	108.88235	2.06055	0.77335	0.16602	0.01028	0.47094	47.094
13.38	-0.56428	-1.02817	-0.88251	96.42561	1.82617	0.63312	0.14648	0	0.62672	62.672
13.39	0.36345	0	-0.88251	83.44983	1.58203	0.42278	0.11719	0	1.02817	102.817
13.4	0.85173	1.49971	-0.86751	70.47405	1.33789	0.2475	0.09277	0.015	1.49971	149.971
13.41	1.2033	2.12074	-0.8463	56.71972	1.0791	0.17739	0.08301	0.03621	0.62103	62.103
13.42	1.51091	2.64997	-0.81981	43.48443	0.83008	0.14233	0.07813	0.0627	0.52923	52.923
13.43	1.75505	3.07542	-0.78905	31.54671	0.60547	0.07222	0.06836	0.09346	0.42545	42.545
13.44	2.10662	3.69249	-0.75213	21.94464	0.4248	0.0021	0.05859	0.13038	0.61707	61.707
13.45	2.18474	3.82981	-0.71383	14.15917	0.27832	-0.03295	0.05371	0.16868	0.13732	13.732
13.46	2.21892	3.88979	-0.67493	8.44983	0.1709	-0.06801	0.04883	0.20758	0.05998	5.998
13.47	2.2238	3.89835	-0.63595	4.29758	0.09277	-0.10307	0.04395	0.24656	0.00856	0.856
13.48	2.18474	3.82981	-0.59765	1.44291	0.03906	-0.10307	0.04395	0.28486	-0.06854	-6.854
13.49	2.14568	3.76101	-0.56004	-1.15225	-0.00977	-0.06801	0.04883	0.32247	-0.0688	-6.88
13.5	2.10173	3.68384	-0.5232	-2.44983	-0.03418	-0.06801	0.04883	0.35931	-0.07717	-7.717
13.51	2.07244	3.63226	-0.48688	-2.96886	-0.04395	-0.06801	0.04883	0.39563	-0.05158	-5.158
13.52	2.04802	3.58947	-0.45098	-2.96886	-0.04395	-0.06801	0.04883	0.43153	-0.04279	-4.279
13.53	2.01384	3.52925	-0.41569	-2.70934	-0.03906	-0.03295	0.05371	0.46682	-0.06022	-6.022
13.54	1.9699	3.45219	-0.38117	-1.9308	-0.02441	-0.06801	0.04883	0.50134	-0.07706	-7.706
13.55	1.92107	3.36628	-0.34751	-1.15225	-0.00977	-0.03295	0.05371	0.535	-0.08591	-8.591
13.56	1.86248	3.2634	-0.31487	0.40484	0.01953	0.0021	0.05859	0.56764	-0.10288	-10.288
13.57	1.81853	3.18628	-0.28301	1.96194	0.04883	0.0021	0.05859	0.5995	-0.07712	-7.712
13.58	1.75505	3.07542	-0.25225	4.29758	0.09277	0.0021	0.05859	0.63026	-0.11086	-11.086
13.59	1.69158	2.96475	-0.22261	8.19031	0.16602	0.0021	0.05859	0.6599	-0.11067	-11.067
13.6	1.64763	2.88791	-0.19373	14.15917	0.27832	0.0021	0.05859	0.68878	-0.07684	-7.684
13.61	1.63298	2.86234	-0.1651	22.46367	0.43457	0.03716	0.06348	0.71741	-0.02557	-2.557
13.62	1.55486	2.72579	-0.13785	33.36332	0.63965	0.03716	0.06348	0.74466	-0.13655	-13.655
13.63	1.4572	2.56203	-0.11223	45.56055	0.86914	0.03716	0.06348	0.77028	-0.16376	-16.376
13.64	1.33513	2.3511	-0.08872	57.75779	1.09863	0.03716	0.06348	0.79379	-0.21093	-21.093
13.65	1.17888	2.07744	-0.06794	70.73356	1.34277	-0.03295	0.05371	0.81457	-0.27366	-27.366
13.66	0.9738	1.71622	-0.05078	83.44983	1.58203	-0.17318	0.03418	0.83173	-0.36122	-36.122
13.67	0.71501	1.25506	-0.03823	94.609	1.79199	-0.41858	0	0.84428	-0.46116	-46.116
13.68	0.17302	0.2972	-0.03526	105.24913	1.99219	-0.69903	-0.03906	0.84725	-0.95786	-95.786
13.69	-0.73518	0	-0.03526	115.11073	2.17773	-0.94443	-0.07324	0.84725	-0.2972	-29.72
13.7	-1.10139	-2.02606	-0.05552	124.45329	2.35352	-1.11971	-0.09766	0.82699	-2.02606	-202.606
13.71	-1.38948	-2.55786	-0.0811	133.27682	2.51953	-1.25994	-0.11719	0.80141	-0.5318	-53.18
13.72	-1.61409	-2.97134	-0.11081	141.84083	2.68066	-1.40016	-0.13672	0.7717	-0.41348	-41.348
13.73	-1.85823	-3.42077	-0.14502	149.6263	2.82715	-1.54039	-0.15625	0.73749	-0.44943	-44.943
13.74	-1.9803	-3.64549	-0.18147	155.85467	2.94434	-1.6105	-0.16602	0.70104	-0.22472	-22.472
13.75	-2.04377	-3.76234	-0.21909	160.78547	3.03711	-1.68062	-0.17578	0.66342	-0.11685	-11.685
13.76	-2.0926	-3.85223	-0.25762	164.6782	3.11035	-1.75073	-0.18555	0.62489	-0.08989	-8.989
13.77	-2.13655	-3.93313	-0.29695	167.53287	3.16406	-1.78579	-0.19043	0.58556	-0.0809	-8.09
13.78	-2.16096	-3.97807	-0.33673	169.609	3.20313	-1.78579	-0.19043	0.54578	-0.04494	-4.494
13.79	-2.17561	-4.00503	-0.37678	171.42561	3.2373	-1.75073	-0.18555	0.50573	-0.02696	-2.696
13.8	-2.18538	-4.02301	-0.41701	172.9827	3.2666	-1.71567	-0.18066	0.4655	-0.01798	-1.798
13.81	-2.17561	-4.00503	-0.45706	174.28028	3.29102	-1.68062	-0.17578	0.42545	0.01798	1.798
13.82	-2.16584	-3.98706	-0.49693	175.05882	3.30566	-1.57545	-0.16113	0.38558	0.01797	1.797
13.83	-2.1512	-3.96009	-0.53653	175.31834	3.31055	-1.50533	-0.15137	0.34598	0.02697	2.697
13.84	-2.10237	-3.8702	-0.57523	174.79931	3.30078	-1.43522	-0.1416	0.30728	0.08989	8.989
13.85	-2.06331	-3.7983	-0.61322	173.50173	3.27637	-1.29499	-0.12207	0.26929	0.0719	7.19
13.86	-1.99495	-3.67245	-0.64994	171.16609	3.23242	-1.11971	-0.09766	0.23257	0.12585	12.585
13.87	-1.91194	-3.51965	-0.68514	167.53287	3.16406	-0.94443	-0.07324	0.19737	0.1528	15.28
13.88	-1.81917	-3.34886	-0.71863	162.08304	3.06152	-0.73409	-0.04395	0.16388	0.17079	17.079
13.89	-1.68733	-3.10617	-0.74969	154.55709	2.91992	-0.41858	0	0.13282	0.24269	24.269
13.9	-1.62385	-2.98932	-0.77958	145.47405	2.74902	-0.10307	0.04395	0.10293	0.11685	11.685
13.91	-1.54084	-2.83651	-0.80795	134.31488	2.53906	0.21244	0.08789	0.07456	0.15281	15.281
13.92	-1.326	-2.44101	-0.83236	122.37716	2.31445	0.52795	0.13184	0.05015	0.3955	39.55
13.93	-1.07698	-1.98066	-0.85216	110.43945	2.08984	0.73829	0.16113	0.03035	0.46035	46.035
13.94	-0.76448	-1.40133	-0.86618	99.02076	1.875	0.73829	0.16113	0.01633	0.57933	57.933
13.95	-0.23713	-0.41451	-0.87032	87.60208	1.66016	0.52795	0.13184	0.01219	0.98682	98.682
13.96	0.65642	0	-0.87032	76.18339	1.44531	0.31761	0.10254	0.01219	0.41451	41.451
13.97	1.02263	1.80294	-0.85229	63.72664	1.21094	0.21244	0.08789	0.03022	1.80294	180.294
13.98	1.34978	2.37672	-0.82852	51.52941	0.98145	0.14233	0.07813	0.05399	0.57378	57.378
13.99	1.57927	2.76848	-0.80084	40.62976	0.77637	0.10727	0.07324	0.08167	0.39176	39.176
14	1.88201	3.29783	-0.76786	30.24913	0.58105	0.0021	0.05859	0.11465	0.52935	52.935
14.01	2.05291	3.59803	-0.73188	21.42561	0.41504	-0.03295	0.05371	0.15063	0.3002	30.02
14.02	2.11638	3.70966	-0.69478	14.15917	0.27832	-0.06801	0.04883	0.18773	0.11163	11.163
14.03	2.15056	3.76957	-0.65709	8.44983	0.1709	-0.10307	0.04395	0.22542	0.05991	5.991
14.04	2.15544	3.77813	-0.61931	4.03806	0.08789	-0.06801	0.04883	0.2632	0.00856	0.856
14.05	2.16521	3.79525	-0.58135	0.40484	0.01953	-0.10307	0.04395	0.30116	0.01712	1.712
14.06	2.13591	3.74389	-0.54392	-1.9308	-0.02441	-0.06801	0.04883	0.33859	-0.05136	-5.136
14.07	2.13591	3.74389	-0.50648	-3.48789	-0.05371	-0.06801	0.04883	0.37603	0	0
14.08	2.10173	3.68384	-0.46964	-4.26644	-0.06836	-0.06801	0.04883	0.41287	-0.06005	-6.005
14.09	2.07732	3.64082	-0.43323	-4.52595	-0.07324	-0.06801	0.04883	0.44928	-0.04302	-4.302
14.1	2.02849	3.55519	-0.39768	-4.26644	-0.06836	-0.06801	0.04883	0.48483	-0.08563	-8.563
14.11	1.98455	3.47787	-0.3629	-4.00692	-0.06348	-0.03295	0.05371	0.51961	-0.07732	-7.732
14.12	1.92595	3.37484	-0.32915	-3.48789	-0.05371	-0.06801	0.04883	0.55336	-0.10303	-10.303
14.13	1.87712	3.28928	-0.29626	-2.70934	-0.03906	-0.06801	0.04883	0.58625	-0.08556	-8.556
14.14	1.8283	3.20339	-0.26422	-1.41176	-0.01465	-0.03295	0.05371	0.61829	-0.08589	-8.589
14.15	1.78435	3.12671	-0.23296	0.66436	0.02441	0.0021	0.05859	0.64955	-0.07668	-7.668
14.16	1.73064	3.0329	-0.20263	3	0.06836	0.0021	0.05859	0.67988	-0.09381	-9.381
14.17	1.67693	2.93907	-0.17324	6.63322	0.13672	0.03716	0.06348	0.70927	-0.09383	-9.383
14.18	1.64763	2.88791	-0.14436	11.3045	0.22461	0.03716	0.06348	0.73815	-0.05116	-5.116
14.19	1.6281	2.85378	-0.11582	18.0519	0.35156	0.03716	0.06348	0.76669	-0.03413	-3.413
14.2	1.55974	2.73428	-0.08848	25.83737	0.49805	0.03716	0.06348	0.79403	-0.1195	-11.95
14.21	1.4865	2.60838	-0.06239	35.69896	0.68359	0.03716	0.06348	0.82012	-0.1259	-12.59
14.22	1.38884	2.44476	-0.03795	47.11765	0.89844	0.03716	0.06348	0.84456	-0.16362	-16.362
14.23	1.25701	2.21465	-0.0158	58.79585	1.11816	0.0021	0.05859	0.86671	-0.23011	-23.011
14.24	1.08123	1.9068	0.00327	70.73356	1.34277	-0.10307	0.04395	0.88578	-0.30785	-30.785
14.25	0.83708	1.47374	0.018	81.89273	1.55273	-0.27835	0.01953	0.90051	-0.43306	-43.306
14.26	0.5197	0.9067	0.02707	91.49481	1.7334	-0.5588	-0.01953	0.90958	-0.56704	-56.704
14.27	-0.43245	0	0.02707	101.09689	1.91406	-0.8042	-0.05371	0.90958	-0.9067	-90.67
14.28	-0.91096	-1.67299	0.01034	110.69896	2.09473	-1.01454	-0.08301	0.89285	-1.67299	-167.299
14.29	-1.23323	-2.27022	-0.01236	120.82007	2.28516	-1.22488	-0.1123	0.87015	-0.59723	-59.723
14.3	-1.50667	-2.77359	-0.0401	130.16263	2.46094	-1.40016	-0.13672	0.84241	-0.50337	-50.337
14.31	-1.71174	-3.15111	-0.07161	139.50519	2.63672	-1.57545	-0.16113	0.8109	-0.37752	-37.752
14.32	-1.98518	-3.65448	-0.10815	147.29066	2.7832	-1.71567	-0.18066	0.77436	-0.50337	-50.337
14.33	-2.06331	-3.7983	-0.14613	153	2.89063	-1.82084	-0.19531	0.73638	-0.14382	-14.382
14.34	-2.12678	-3.91515	-0.18529	157.41176	2.97363	-1.8559	-0.2002	0.69722	-0.11685	-11.685
14.35	-2.16584	-3.98706	-0.22516	160.26644	3.02734	-1.8559	-0.2002	0.65735	-0.07191	-7.191
14.36	-2.19026	-4.032	-0.26548	162.08304	3.06152	-1.82084	-0.19531	0.61703	-0.04494	-4.494
14.37	-2.19026	-4.032	-0.3058	163.38062	3.08594	-1.78579	-0.19043	0.57671	0	0
14.38	-2.19026	-4.032	-0.34612	163.89965	3.0957	-1.71567	-0.18066	0.53639	0	0
14.39	-2.17073	-3.99605	-0.38608	163.64014	3.09082	-1.6105	-0.16602	0.49643	0.03595	3.595
14.4	-2.13655	-3.93313	-0.42541	161.82353	3.05664	-1.43522	-0.1416	0.4571	0.06292	6.292
14.41	-2.07307	-3.81627	-0.46357	158.44983	2.99316	-1.25994	-0.11719	0.41894	0.11686	11.686
14.42	-2.00471	-3.69043	-0.50048	153.25952	2.89551	-1.0496	-0.08789	0.38203	0.12584	12.584
14.43	-1.88264	-3.46571	-0.53513	145.73356	2.75391	-0.76914	-0.04883	0.34738	0.22472	22.472
14.44	-1.74104	-3.20504	-0.56718	135.09343	2.55371	-0.38352	0.00488	0.31533	0.26067	26.067
14.45	-1.61409	-2.97134	-0.5969	121.85813	2.30469	0.03716	0.06348	0.28561	0.2337	23.37
14.46	-1.53108	-2.81853	-0.62508	106.02768	2.00684	0.45784	0.12207	0.25743	0.15281	15.281
14.47	-1.25276	-2.30618	-0.64814	90.19723	1.70898	0.77335	0.16602	0.23437	0.51235	51.235
14.48	-0.91584	-1.68204	-0.66496	75.92388	1.44043	0.77335	0.16602	0.21755	0.62414	62.414
14.49	-0.3592	-0.64527	-0.67142	62.68858	1.19141	0.45784	0.12207	0.21109	1.03677	103.677
14.5	0.75408	0	-0.67142	49.97232	0.95215	0.21244	0.08789	0.21109	0.64527	64.527
14.51	1.16912	2.06002	-0.65082	37.51557	0.71777	0.10727	0.07324	0.23169	2.06002	206.002
