Time	Exp Mouth Pressure	Pred Mouth Pressure
13.18	-1.89096	
13.19	-1.8559	-1.801195903
13.2	-1.78579	-1.723494936
13.21	-1.75073	-1.610412073
13.22	-1.64556	-1.480215236
13.23	-1.57545	-1.377241875
13.24	-1.50533	-1.224005035
13.25	-1.43522	-1.109060885
13.26	-1.33005	-0.965964841
13.27	-1.25994	-0.830470494
13.28	-1.15477	-0.693181098
13.29	-1.01454	-0.554528569
13.3	-0.90937	-0.416680219
13.31	-0.69903	-0.280392079
13.32	-0.52375	-0.134785743
13.33	-0.24329	-0.011227677
13.34	0.07222	0.094169562
13.35	0.35267	0.234322263
13.36	0.63312	0.401133784
13.37	0.77335	0.558948375
13.38	0.63312	0.673499539
13.39	0.42278	0.653418104
13.4	0.2475	0.369780983
13.41	0.17739	0.517024418
13.42	0.14233	0.365996781
13.43	0.07222	0.220648148
13.44	0.0021	-0.127076358
13.45	-0.03295	-0.084040599
13.46	-0.06801	-0.113399065
13.47	-0.10307	-0.12476347
13.48	-0.10307	-0.095653541
13.49	-0.06801	-0.08257347
13.5	-0.06801	-0.066235016
13.51	-0.06801	-0.066384843
13.52	-0.06801	-0.068913383
13.53	-0.03295	-0.063460237
13.54	-0.06801	-0.053359484
13.55	-0.03295	-0.042316276
13.56	0.0021	-0.027822824
13.57	0.0021	-0.022848693
13.58	0.0021	-0.012007974
13.59	0.0021	-0.002145215
13.6	0.0021	3.00316E-05
13.61	0.03716	-0.008373057
13.62	0.03716	-0.012882114
13.63	0.03716	-0.005588556
13.64	0.03716	0.000313879
13.65	-0.03295	0.002105892
13.66	-0.17318	-0.00867039
13.67	-0.41858	-0.043501543
13.68	-0.69903	-0.258207872
13.69	-0.94443	-0.176097315
13.7	-1.11971	-1.269224238
13.71	-1.25994	-1.21699672
13.72	-1.40016	-1.395665054
13.73	-1.54039	-1.638296894
13.74	-1.6105	-1.692001878
13.75	-1.68062	-1.684859927
13.76	-1.75073	-1.665661229
